Name,Scheduled Days,Scheduled Start Time,Team
MATH1 IDS - Tutorial/01,Friday,10:00,Introduction to Data Science
MATH1 IDS - Tutorial/02,Friday,11:10,Introduction to Data Science
MATH1 IDS - Tutorial/03,Friday,12:10,Introduction to Data Science
MATH1 Introduction to Data Science - Q&A session,Thursday,11:10,Introduction to Data Science
MATH4/5 Mathematical Education - Tut/01,Wednesday,14:10,2020-MEd
MATH4/5 Mathematical Education - Tut/02,Wednesday,15:30,2020-MEd
MATH4/5 Mathematical Education - Tut/03,Thursday,9:00,2020-MEd
MATH4/5 Mathematical Education - Tut/04,Thursday,14:10,2020-MEd
MATH4/5 Applied Stochastic Differential Equations - Lab/01,Tuesday,10:30,2020-ASDE-Lab-Tues-10:30
MATH4/5 Applied Stochastic Differential Equations - Lab/02,Tuesday,17:10,2020-ASDE-Lab-Tues-17:00
MATH4/5 Applied Stochastic Differential Equations - Lab/03,Tuesday,17:10,2020-ASDE-Lab-Tues-17:00
MATH4/5 Applied Stochastic Differential Equation -  Office hours,Wednesday,13:10,2020-ASDE-Office-Hour-Wed-13:10
